--------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-20

--------------------------------------------------------------------------------
                      SDDP.jl (c) Oscar Dowson, 2017-20

Numerical stability report
  Non-zero Matrix range     [1e+00, 1e+00]
  Non-zero Objective range  [1e+00, 2e+02]
  Non-zero Bounds range     [2e+02, 2e+02]
  Non-zero RHS range        [2e+02, 2e+02]
No problems detected

Solver: serial mode

 Iteration    Simulation       Bound         Time (s)    Proc. ID   # Solves
       61    1.750000e+04   1.750000e+04   1.639000e+01          1        366
       62    1.750000e+04   1.750000e+04   1.639500e+01          1        372
       63    1.750000e+04   1.750000e+04   1.652300e+01          1        378
       64    1.750000e+04   1.750000e+04   1.665900e+01          1        384
       65    1.750000e+04   1.750000e+04   1.672200e+01          1        390
       66    1.750000e+04   1.750000e+04   1.672400e+01          1        396
       67    1.750000e+04   1.750000e+04   1.678500e+01          1        402
       68    1.750000e+04   1.750000e+04   1.685900e+01          1        408
       69    1.750000e+04   1.750000e+04   1.692400e+01          1        414
       70    1.750000e+04   1.750000e+04   1.693100e+01          1        420
       71    1.750000e+04   1.750000e+04   1.693600e+01          1        426
       72    1.750000e+04   1.750000e+04   1.693900e+01          1        432
       73    1.750000e+04   1.750000e+04   1.694200e+01          1        438
       74    1.750000e+04   1.750000e+04   1.700200e+01          1        444
       75    1.750000e+04   1.750000e+04   1.706600e+01          1        450
       76    1.750000e+04   1.750000e+04   1.706800e+01          1        456
       77    1.750000e+04   1.750000e+04   1.713000e+01          1        462
       78    1.750000e+04   1.750000e+04   1.714300e+01          1        468
       79    1.750000e+04   1.750000e+04   1.720400e+01          1        474
       80    1.750000e+04   1.750000e+04   1.723000e+01          1        480
       81    1.750000e+04   1.750000e+04   1.742700e+01          1        486
       82    1.750000e+04   1.750000e+04   1.749300e+01          1        492
       83    1.750000e+04   1.750000e+04   1.756300e+01          1        498
       84    1.750000e+04   1.750000e+04   1.757200e+01          1        504
       85    1.750000e+04   1.750000e+04   1.757500e+01          1        510
       86    1.750000e+04   1.750000e+04   1.757900e+01          1        516
       87    1.750000e+04   1.750000e+04   1.764200e+01          1        522
       88    1.750000e+04   1.750000e+04   1.770700e+01          1        528
       89    1.750000e+04   1.750000e+04   1.772000e+01          1        534
       90    1.750000e+04   1.750000e+04   1.772300e+01          1        540
       91    1.750000e+04   1.750000e+04   1.772900e+01          1        546
       92    1.750000e+04   1.750000e+04   1.784800e+01          1        552
       93    1.750000e+04   1.750000e+04   1.785400e+01          1        558
       94    1.750000e+04   1.750000e+04   1.786300e+01          1        564
       95    1.750000e+04   1.750000e+04   1.792100e+01          1        570
       96    1.750000e+04   1.750000e+04   1.804400e+01          1        576
       97    1.750000e+04   1.750000e+04   1.804500e+01          1        582
       98    1.750000e+04   1.750000e+04   1.810600e+01          1        588
       99    1.750000e+04   1.750000e+04   1.817800e+01          1        594
      100    1.750000e+04   1.750000e+04   1.818100e+01          1        600
      101    1.750000e+04   1.750000e+04   1.824500e+01          1        606
      102    1.750000e+04   1.750000e+04   1.825900e+01          1        612
      103    1.750000e+04   1.750000e+04   1.826100e+01          1        618
      104    1.750000e+04   1.750000e+04   1.826500e+01          1        624
      105    1.750000e+04   1.750000e+04   1.839300e+01          1        630
      106    1.750000e+04   1.750000e+04   1.845700e+01          1        636
      107    1.750000e+04   1.750000e+04   1.858800e+01          1        642
      108    1.750000e+04   1.750000e+04   1.865100e+01          1        648
      109    1.750000e+04   1.750000e+04   1.871300e+01          1        654
      110    1.750000e+04   1.750000e+04   1.872200e+01          1        660
      111    1.750000e+04   1.750000e+04   1.872500e+01          1        666
      112    1.750000e+04   1.750000e+04   1.872900e+01          1        672
      113    1.750000e+04   1.750000e+04   1.873200e+01          1        678
      114    1.750000e+04   1.750000e+04   1.873600e+01          1        684
      115    1.750000e+04   1.750000e+04   1.879500e+01          1        690
      116    1.750000e+04   1.750000e+04   1.892500e+01          1        696
      117    1.750000e+04   1.750000e+04   1.899100e+01          1        702
      118    1.750000e+04   1.750000e+04   1.906100e+01          1        708
      119    1.750000e+04   1.750000e+04   1.906300e+01          1        714
      120    1.750000e+04   1.750000e+04   1.912500e+01          1        720
      121    1.750000e+04   1.750000e+04   1.919800e+01          1        726
      122    1.750000e+04   1.750000e+04   1.926100e+01          1        732
      123    1.750000e+04   1.750000e+04   1.932400e+01          1        738
      124    1.750000e+04   1.750000e+04   1.932700e+01          1        744
      125    1.750000e+04   1.750000e+04   1.933000e+01          1        750
      126    1.750000e+04   1.750000e+04   1.933300e+01          1        756
      127    1.750000e+04   1.750000e+04   1.939300e+01          1        762
      128    1.750000e+04   1.750000e+04   1.945700e+01          1        768
      129    1.750000e+04   1.750000e+04   1.945900e+01          1        774
      130    1.750000e+04   1.750000e+04   1.951900e+01          1        780
      131    1.750000e+04   1.750000e+04   1.953300e+01          1        786
      132    1.750000e+04   1.750000e+04   1.960000e+01          1        792
      133    1.750000e+04   1.750000e+04   1.960800e+01          1        798
      134    1.750000e+04   1.750000e+04   1.961200e+01          1        804
      135    1.750000e+04   1.750000e+04   1.961500e+01          1        810
      136    1.750000e+04   1.750000e+04   1.961900e+01          1        816
      137    1.750000e+04   1.750000e+04   1.967700e+01          1        822
      138    1.750000e+04   1.750000e+04   1.980100e+01          1        828
      139    1.750000e+04   1.750000e+04   1.980400e+01          1        834
      140    1.750000e+04   1.750000e+04   1.986500e+01          1        840
      141    1.750000e+04   1.750000e+04   1.993500e+01          1        846
      142    1.750000e+04   1.750000e+04   1.994400e+01          1        852
      143    1.750000e+04   1.750000e+04   1.994800e+01          1        858
      144    1.750000e+04   1.750000e+04   1.996300e+01          1        864
      145    1.750000e+04   1.750000e+04   2.018400e+01          1        870
      146    1.750000e+04   1.750000e+04   2.024900e+01          1        876
      147    1.750000e+04   1.750000e+04   2.031500e+01          1        882
      148    1.750000e+04   1.750000e+04   2.037700e+01          1        888
      149    1.750000e+04   1.750000e+04   2.045100e+01          1        894
      150    1.750000e+04   1.750000e+04   2.051500e+01          1        900
      151    1.750000e+04   1.750000e+04   2.051700e+01          1        906
      152    1.750000e+04   1.750000e+04   2.058300e+01          1        912
      153    1.750000e+04   1.750000e+04   2.059700e+01          1        918
      154    1.750000e+04   1.750000e+04   2.059900e+01          1        924
      155    1.750000e+04   1.750000e+04   2.060300e+01          1        930
      156    1.750000e+04   1.750000e+04   2.073500e+01          1        936
      157    1.750000e+04   1.750000e+04   2.082900e+01          1        942
      158    1.750000e+04   1.750000e+04   2.092200e+01          1        948
      159    1.750000e+04   1.750000e+04   2.092500e+01          1        954
      160    1.750000e+04   1.750000e+04   2.098400e+01          1        960
      161    1.750000e+04   1.750000e+04   2.105500e+01          1        966
      162    1.750000e+04   1.750000e+04   2.105700e+01          1        972
      163    1.750000e+04   1.750000e+04   2.112000e+01          1        978
      164    1.750000e+04   1.750000e+04   2.113200e+01          1        984
      165    1.750000e+04   1.750000e+04   2.113300e+01          1        990
      166    1.750000e+04   1.750000e+04   2.113700e+01          1        996
      167    1.750000e+04   1.750000e+04   2.114100e+01          1       1002
      168    1.750000e+04   1.750000e+04   2.120100e+01          1       1008
      169    1.750000e+04   1.750000e+04   2.132800e+01          1       1014
      170    1.750000e+04   1.750000e+04   2.140300e+01          1       1020
      171    1.750000e+04   1.750000e+04   2.147000e+01          1       1026
      172    1.750000e+04   1.750000e+04   2.148000e+01          1       1032
      173    1.750000e+04   1.750000e+04   2.153700e+01          1       1038
      174    1.750000e+04   1.750000e+04   2.155500e+01          1       1044
      175    1.750000e+04   1.750000e+04   2.155700e+01          1       1050
      176    1.750000e+04   1.750000e+04   2.168800e+01          1       1056
      177    1.750000e+04   1.750000e+04   2.169000e+01          1       1062
      178    1.750000e+04   1.750000e+04   2.175100e+01          1       1068
      179    1.750000e+04   1.750000e+04   2.182300e+01          1       1074
      180    1.750000e+04   1.750000e+04   2.182600e+01          1       1080
      181    1.750000e+04   1.750000e+04   2.188800e+01          1       1086
      182    1.750000e+04   1.750000e+04   2.196000e+01          1       1092
      183    1.750000e+04   1.750000e+04   2.197000e+01          1       1098
      184    1.750000e+04   1.750000e+04   2.197200e+01          1       1104
      185    1.750000e+04   1.750000e+04   2.197600e+01          1       1110
      186    1.750000e+04   1.750000e+04   2.204100e+01          1       1116
      187    1.750000e+04   1.750000e+04   2.210800e+01          1       1122
      188    1.750000e+04   1.750000e+04   2.211100e+01          1       1128
      189    1.750000e+04   1.750000e+04   2.217300e+01          1       1134
      190    1.750000e+04   1.750000e+04   2.224400e+01          1       1140
      191    1.750000e+04   1.750000e+04   2.231900e+01          1       1146
      192    1.750000e+04   1.750000e+04   2.232900e+01          1       1152
      193    1.750000e+04   1.750000e+04   2.238800e+01          1       1158
      194    1.750000e+04   1.750000e+04   2.239900e+01          1       1164
      195    1.750000e+04   1.750000e+04   2.246000e+01          1       1170
      196    1.750000e+04   1.750000e+04   2.247100e+01          1       1176
      197    1.750000e+04   1.750000e+04   2.247400e+01          1       1182
      198    1.750000e+04   1.750000e+04   2.247700e+01          1       1188
      199    1.750000e+04   1.750000e+04   2.254100e+01          1       1194
      200    1.750000e+04   1.750000e+04   2.260800e+01          1       1200
      201    1.750000e+04   1.750000e+04   2.262100e+01          1       1206
      202    1.750000e+04   1.750000e+04   2.262300e+01          1       1212
      203    1.750000e+04   1.750000e+04   2.262600e+01          1       1218
      204    1.750000e+04   1.750000e+04   2.268800e+01          1       1224
      205    1.750000e+04   1.750000e+04   2.275400e+01          1       1230
      206    1.750000e+04   1.750000e+04   2.276400e+01          1       1236
      207    1.750000e+04   1.750000e+04   2.282700e+01          1       1242
      208    1.750000e+04   1.750000e+04   2.289000e+01          1       1248
      209    1.750000e+04   1.750000e+04   2.295500e+01          1       1254
      210    1.750000e+04   1.750000e+04   2.295800e+01          1       1260
      211    1.750000e+04   1.750000e+04   2.296000e+01          1       1266
      212    1.750000e+04   1.750000e+04   2.296600e+01          1       1272
      213    1.750000e+04   1.750000e+04   2.302800e+01          1       1278
      214    1.750000e+04   1.750000e+04   2.316900e+01          1       1284
      215    1.750000e+04   1.750000e+04   2.325500e+01          1       1290
      216    1.750000e+04   1.750000e+04   2.325700e+01          1       1296
      217    1.750000e+04   1.750000e+04   2.325900e+01          1       1302
      218    1.750000e+04   1.750000e+04   2.326300e+01          1       1308
      219    1.750000e+04   1.750000e+04   2.333600e+01          1       1314
      220    1.750000e+04   1.750000e+04   2.334000e+01          1       1320
      221    1.750000e+04   1.750000e+04   2.334400e+01          1       1326
      222    1.750000e+04   1.750000e+04   2.334700e+01          1       1332
      223    1.750000e+04   1.750000e+04   2.335100e+01          1       1338
      224    1.750000e+04   1.750000e+04   2.342200e+01          1       1344
      225    1.750000e+04   1.750000e+04   2.355600e+01          1       1350
      226    1.750000e+04   1.750000e+04   2.356600e+01          1       1356
      227    1.750000e+04   1.750000e+04   2.363200e+01          1       1362
      228    1.750000e+04   1.750000e+04   2.363900e+01          1       1368
      229    1.750000e+04   1.750000e+04   2.364700e+01          1       1374
      230    1.750000e+04   1.750000e+04   2.382000e+01          1       1380
      231    1.750000e+04   1.750000e+04   2.382300e+01          1       1386
      232    1.750000e+04   1.750000e+04   2.383000e+01          1       1392
      233    1.750000e+04   1.750000e+04   2.383200e+01          1       1398
      234    1.750000e+04   1.750000e+04   2.392200e+01          1       1404
      235    1.750000e+04   1.750000e+04   2.399500e+01          1       1410
      236    1.750000e+04   1.750000e+04   2.410500e+01          1       1416
      237    1.750000e+04   1.750000e+04   2.423500e+01          1       1422
      238    1.750000e+04   1.750000e+04   2.434000e+01          1       1428
      239    1.750000e+04   1.750000e+04   2.440900e+01          1       1434
      240    1.750000e+04   1.750000e+04   2.447900e+01          1       1440
      241    1.750000e+04   1.750000e+04   2.454200e+01          1       1446
      242    1.750000e+04   1.750000e+04   2.463700e+01          1       1452
      243    1.750000e+04   1.750000e+04   2.470300e+01          1       1458
      244    1.750000e+04   1.750000e+04   2.477200e+01          1       1464
      245    1.750000e+04   1.750000e+04   2.485400e+01          1       1470
      246    1.750000e+04   1.750000e+04   2.492300e+01          1       1476
      247    1.750000e+04   1.750000e+04   2.498500e+01          1       1482
      248    1.750000e+04   1.750000e+04   2.499300e+01          1       1488
      249    1.750000e+04   1.750000e+04   2.499800e+01          1       1494
      250    1.750000e+04   1.750000e+04   2.500100e+01          1       1500
      251    1.750000e+04   1.750000e+04   2.500500e+01          1       1506
      252    1.750000e+04   1.750000e+04   2.507200e+01          1       1512
      253    1.750000e+04   1.750000e+04   2.520300e+01          1       1518
      254    1.750000e+04   1.750000e+04   2.527900e+01          1       1524
      255    1.750000e+04   1.750000e+04   2.535200e+01          1       1530
      256    1.750000e+04   1.750000e+04   2.542200e+01          1       1536
      257    1.750000e+04   1.750000e+04   2.543100e+01          1       1542
      258    1.750000e+04   1.750000e+04   2.543300e+01          1       1548
      259    1.750000e+04   1.750000e+04   2.543700e+01          1       1554
      260    1.750000e+04   1.750000e+04   2.550100e+01          1       1560
      261    1.750000e+04   1.750000e+04   2.556700e+01          1       1566
      262    1.750000e+04   1.750000e+04   2.562900e+01          1       1572
      263    1.750000e+04   1.750000e+04   2.569300e+01          1       1578
      264    1.750000e+04   1.750000e+04   2.569500e+01          1       1584
      265    1.750000e+04   1.750000e+04   2.576100e+01          1       1590
      266    1.750000e+04   1.750000e+04   2.577300e+01          1       1596
      267    1.750000e+04   1.750000e+04   2.584000e+01          1       1602
      268    1.750000e+04   1.750000e+04   2.584800e+01          1       1608
      269    1.750000e+04   1.750000e+04   2.585200e+01          1       1614
      270    1.750000e+04   1.750000e+04   2.585600e+01          1       1620
      271    1.750000e+04   1.750000e+04   2.592500e+01          1       1626
      272    1.750000e+04   1.750000e+04   2.598600e+01          1       1632
      273    1.750000e+04   1.750000e+04   2.598900e+01          1       1638
      274    1.750000e+04   1.750000e+04   2.605400e+01          1       1644
      275    1.750000e+04   1.750000e+04   2.606600e+01          1       1650
      276    1.750000e+04   1.750000e+04   2.606900e+01          1       1656
      277    1.750000e+04   1.750000e+04   2.607200e+01          1       1662
      278    1.750000e+04   1.750000e+04   2.614700e+01          1       1668
      279    1.750000e+04   1.750000e+04   2.615000e+01          1       1674
      280    1.750000e+04   1.750000e+04   2.621200e+01          1       1680
      281    1.750000e+04   1.750000e+04   2.622500e+01          1       1686
      282    1.750000e+04   1.750000e+04   2.630000e+01          1       1692
      283    1.750000e+04   1.750000e+04   2.637400e+01          1       1698
      284    1.750000e+04   1.750000e+04   2.651100e+01          1       1704
      285    1.750000e+04   1.750000e+04   2.651400e+01          1       1710
      286    1.750000e+04   1.750000e+04   2.659400e+01          1       1716
      287    1.750000e+04   1.750000e+04   2.660700e+01          1       1722
      288    1.750000e+04   1.750000e+04   2.661100e+01          1       1728
      289    1.750000e+04   1.750000e+04   2.667300e+01          1       1734
      290    1.750000e+04   1.750000e+04   2.679800e+01          1       1740
      291    1.750000e+04   1.750000e+04   2.693200e+01          1       1746
      292    1.750000e+04   1.750000e+04   2.700000e+01          1       1752
      293    1.750000e+04   1.750000e+04   2.706300e+01          1       1758
      294    1.750000e+04   1.750000e+04   2.712900e+01          1       1764
      295    1.750000e+04   1.750000e+04   2.730200e+01          1       1770
      296    1.750000e+04   1.750000e+04   2.731100e+01          1       1776
      297    1.750000e+04   1.750000e+04   2.737500e+01          1       1782
      298    1.750000e+04   1.750000e+04   2.737900e+01          1       1788
      299    1.750000e+04   1.750000e+04   2.744600e+01          1       1794
      300    1.750000e+04   1.750000e+04   2.752100e+01          1       1800
      301    1.750000e+04   1.750000e+04   2.758900e+01          1       1806
      302    1.750000e+04   1.750000e+04   2.766200e+01          1       1812
      303    1.750000e+04   1.750000e+04   2.772600e+01          1       1818
      304    1.750000e+04   1.750000e+04   2.773500e+01          1       1824
      305    1.750000e+04   1.750000e+04   2.774000e+01          1       1830
      306    1.750000e+04   1.750000e+04   2.774400e+01          1       1836
      307    1.750000e+04   1.750000e+04   2.774800e+01          1       1842
      308    1.750000e+04   1.750000e+04   2.781400e+01          1       1848
      309    1.750000e+04   1.750000e+04   2.794400e+01          1       1854
      310    1.750000e+04   1.750000e+04   2.802000e+01          1       1860
      311    1.750000e+04   1.750000e+04   2.808200e+01          1       1866
      312    1.750000e+04   1.750000e+04   2.816400e+01          1       1872
      313    1.750000e+04   1.750000e+04   2.829500e+01          1       1878
      314    1.750000e+04   1.750000e+04   2.836300e+01          1       1884
      315    1.750000e+04   1.750000e+04   2.842900e+01          1       1890
      316    1.750000e+04   1.750000e+04   2.849200e+01          1       1896
      317    1.750000e+04   1.750000e+04   2.849500e+01          1       1902
      318    1.750000e+04   1.750000e+04   2.856100e+01          1       1908
      319    1.750000e+04   1.750000e+04   2.857800e+01          1       1914
      320    1.750000e+04   1.750000e+04   2.858000e+01          1       1920
      321    1.750000e+04   1.750000e+04   2.858300e+01          1       1926
      322    1.750000e+04   1.750000e+04   2.864100e+01          1       1932
      323    1.750000e+04   1.750000e+04   2.865100e+01          1       1938
      324    1.750000e+04   1.750000e+04   2.870900e+01          1       1944
      325    1.750000e+04   1.750000e+04   2.877400e+01          1       1950
      326    1.750000e+04   1.750000e+04   2.884000e+01          1       1956
      327    1.750000e+04   1.750000e+04   2.890600e+01          1       1962
      328    1.750000e+04   1.750000e+04   2.897900e+01          1       1968
      329    1.750000e+04   1.750000e+04   2.903800e+01          1       1974
      330    1.750000e+04   1.750000e+04   2.911000e+01          1       1980
      331    1.750000e+04   1.750000e+04   2.912000e+01          1       1986
      332    1.750000e+04   1.750000e+04   2.918100e+01          1       1992
      333    1.750000e+04   1.750000e+04   2.925200e+01          1       1998
      334    1.750000e+04   1.750000e+04   2.925500e+01          1       2004
      335    1.750000e+04   1.750000e+04   2.932200e+01          1       2010
      336    1.750000e+04   1.750000e+04   2.933200e+01          1       2016
      337    1.750000e+04   1.750000e+04   2.933400e+01          1       2022
      338    1.750000e+04   1.750000e+04   2.944300e+01          1       2028
      339    1.750000e+04   1.750000e+04   2.961100e+01          1       2034
      340    1.750000e+04   1.750000e+04   2.961400e+01          1       2040
      341    1.750000e+04   1.750000e+04   2.961700e+01          1       2046
      342    1.750000e+04   1.750000e+04   2.978800e+01          1       2052
      343    1.750000e+04   1.750000e+04   2.989800e+01          1       2058
      344    1.750000e+04   1.750000e+04   2.997300e+01          1       2064
      345    1.750000e+04   1.750000e+04   3.004200e+01          1       2070
      346    1.750000e+04   1.750000e+04   3.004900e+01          1       2076
      347    1.750000e+04   1.750000e+04   3.005200e+01          1       2082
      348    1.750000e+04   1.750000e+04   3.005500e+01          1       2088
      349    1.750000e+04   1.750000e+04   3.011400e+01          1       2094
      350    1.750000e+04   1.750000e+04   3.043400e+01          1       2100
      351    1.750000e+04   1.750000e+04   3.067000e+01          1       2106
      352    1.750000e+04   1.750000e+04   3.075600e+01          1       2112
      353    1.750000e+04   1.750000e+04   3.082300e+01          1       2118
      354    1.750000e+04   1.750000e+04   3.088900e+01          1       2124
      355    1.750000e+04   1.750000e+04   3.095400e+01          1       2130
      356    1.750000e+04   1.750000e+04   3.101900e+01          1       2136
      357    1.750000e+04   1.750000e+04   3.108600e+01          1       2142
      358    1.750000e+04   1.750000e+04   3.110900e+01          1       2148
      359    1.750000e+04   1.750000e+04   3.117200e+01          1       2154
      360    1.750000e+04   1.750000e+04   3.124500e+01          1       2160
      361    1.750000e+04   1.750000e+04   3.131100e+01          1       2166
      362    1.750000e+04   1.750000e+04   3.138500e+01          1       2172
      363    1.750000e+04   1.750000e+04   3.138700e+01          1       2178
      364    1.750000e+04   1.750000e+04   3.144700e+01          1       2184
      365    1.750000e+04   1.750000e+04   3.145900e+01          1       2190
      366    1.750000e+04   1.750000e+04   3.152600e+01          1       2196
      367    1.750000e+04   1.750000e+04   3.153300e+01          1       2202
      368    1.750000e+04   1.750000e+04   3.153700e+01          1       2208
      369    1.750000e+04   1.750000e+04   3.154100e+01          1       2214
      370    1.750000e+04   1.750000e+04   3.154400e+01          1       2220
      371    1.750000e+04   1.750000e+04   3.161500e+01          1       2226
      372    1.750000e+04   1.750000e+04   3.174600e+01          1       2232
      373    1.750000e+04   1.750000e+04   3.181200e+01          1       2238
      374    1.750000e+04   1.750000e+04   3.187500e+01          1       2244
      375    1.750000e+04   1.750000e+04   3.193800e+01          1       2250
      376    1.750000e+04   1.750000e+04   3.194800e+01          1       2256
      377    1.750000e+04   1.750000e+04   3.202100e+01          1       2262
      378    1.750000e+04   1.750000e+04   3.202400e+01          1       2268
      379    1.750000e+04   1.750000e+04   3.202800e+01          1       2274
      380    1.750000e+04   1.750000e+04   3.210700e+01          1       2280
      381    1.750000e+04   1.750000e+04   3.211100e+01          1       2286
      382    1.750000e+04   1.750000e+04   3.219800e+01          1       2292
      383    1.750000e+04   1.750000e+04   3.228400e+01          1       2298
      384    1.750000e+04   1.750000e+04   3.237400e+01          1       2304
      385    1.750000e+04   1.750000e+04   3.249600e+01          1       2310
      386    1.750000e+04   1.750000e+04   3.267100e+01          1       2316
      387    1.750000e+04   1.750000e+04   3.278000e+01          1       2322
      388    1.750000e+04   1.750000e+04   3.278600e+01          1       2328
      389    1.750000e+04   1.750000e+04   3.279100e+01          1       2334
      390    1.750000e+04   1.750000e+04   3.279300e+01          1       2340
      391    1.750000e+04   1.750000e+04   3.279600e+01          1       2346
      392    1.750000e+04   1.750000e+04   3.291300e+01          1       2352
      393    1.750000e+04   1.750000e+04   3.298900e+01          1       2358
      394    1.750000e+04   1.750000e+04   3.305600e+01          1       2364
      395    1.750000e+04   1.750000e+04   3.311900e+01          1       2370
      396    1.750000e+04   1.750000e+04   3.312200e+01          1       2376
      397    1.750000e+04   1.750000e+04   3.318400e+01          1       2382
      398    1.750000e+04   1.750000e+04   3.319700e+01          1       2388
      399    1.750000e+04   1.750000e+04   3.320100e+01          1       2394
      400    1.750000e+04   1.750000e+04   3.326000e+01          1       2400
      401    1.750000e+04   1.750000e+04   3.338500e+01          1       2406
      402    1.750000e+04   1.750000e+04   3.345400e+01          1       2412
      403    1.750000e+04   1.750000e+04   3.352300e+01          1       2418
      404    1.750000e+04   1.750000e+04   3.352600e+01          1       2424
      405    1.750000e+04   1.750000e+04   3.353000e+01          1       2430
      406    1.750000e+04   1.750000e+04   3.353600e+01          1       2436
      407    1.750000e+04   1.750000e+04   3.360900e+01          1       2442
      408    1.750000e+04   1.750000e+04   3.373400e+01          1       2448
      409    1.750000e+04   1.750000e+04   3.380600e+01          1       2454
      410    1.750000e+04   1.750000e+04   3.392500e+01          1       2460
      411    1.750000e+04   1.750000e+04   3.392700e+01          1       2466
      412    1.750000e+04   1.750000e+04   3.401500e+01          1       2472
      413    1.750000e+04   1.750000e+04   3.405800e+01          1       2478
      414    1.750000e+04   1.750000e+04   3.416300e+01          1       2484
      415    1.750000e+04   1.750000e+04   3.424500e+01          1       2490
      416    1.750000e+04   1.750000e+04   3.424800e+01          1       2496
      417    1.750000e+04   1.750000e+04   3.425100e+01          1       2502
      418    1.750000e+04   1.750000e+04   3.431700e+01          1       2508
      419    1.750000e+04   1.750000e+04   3.444200e+01          1       2514
      420    1.750000e+04   1.750000e+04   3.459200e+01          1       2520
      421    1.750000e+04   1.750000e+04   3.460300e+01          1       2526
      422    1.750000e+04   1.750000e+04   3.468300e+01          1       2532
      423    1.750000e+04   1.750000e+04   3.479300e+01          1       2538
      424    1.750000e+04   1.750000e+04   3.480700e+01          1       2544
      425    1.750000e+04   1.750000e+04   3.488700e+01          1       2550
      426    1.750000e+04   1.750000e+04   3.496900e+01          1       2556
      427    1.750000e+04   1.750000e+04   3.503700e+01          1       2562
